x y
1.4896e+05 5.9932e+06
1.7113e+05 6.595e+06
41840 1.6137e+06
0 20388
2.0445e+05 7.6359e+06
1.7642e+05 6.8234e+06
1.3867e+05 5.5995e+06
1.3502e+05 5.4652e+06
1.36e+05 5.5934e+06
1.8054e+05 6.9324e+06
1.5455e+05 6.1944e+06
1.3268e+05 5.538e+06
45622 1.7372e+06
0 20415
1.342e+05 5.6117e+06
1.3306e+05 5.5415e+06
1.67e+05 6.5759e+06
1.4782e+05 5.9765e+06
1.2641e+05 5.3208e+06
1.6445e+05 6.3625e+06
1.4205e+05 5.8823e+06
1.409e+05 5.8167e+06
36908 1.5002e+06
0 18201
1.3643e+05 5.6534e+06
1.3412e+05 5.6291e+06
1.8187e+05 6.8923e+06
1.487e+05 5.8477e+06
1.3284e+05 5.5533e+06
1.6824e+05 6.5286e+06
1.4154e+05 5.7933e+06
1.3857e+05 5.7315e+06
43096 1.6916e+06
0 18573
1.4665e+05 5.9942e+06
1.5147e+05 6.1051e+06
1.3788e+05 5.5824e+06
1.4128e+05 5.6597e+06
1.3277e+05 5.4839e+06
1.4227e+05 5.7981e+06
1.4048e+05 5.7646e+06
1.3295e+05 5.5395e+06
36313 1.4751e+06
0 22262
1.3491e+05 5.655e+06
1.3588e+05 5.7605e+06
1.5152e+05 5.9914e+06
1.4077e+05 5.7075e+06
1.4346e+05 5.8773e+06
1.4266e+05 5.8035e+06
1.4006e+05 5.8147e+06
1.6081e+05 6.38e+06
41758 1.6371e+06
0 19990
1.4088e+05 5.6891e+06
1.2184e+05 5.1884e+06
1.4139e+05 5.6753e+06
2.4658e+05 8.6024e+06
1.3697e+05 5.6083e+06
2.1599e+05 7.7675e+06
1.3722e+05 5.6243e+06
1.4188e+05 5.8042e+06
34271 1.3808e+06
0 19693
1.4896e+05 6.0849e+06
1.4878e+05 6.0922e+06
1.3373e+05 5.3828e+06
1.5998e+05 6.1312e+06
1.3048e+05 5.3902e+06
1.4655e+05 5.8862e+06
1.3493e+05 5.519e+06
1.4633e+05 5.9137e+06
54211 1.9719e+06
0 18779
1.27e+05 5.2995e+06
1.2983e+05 5.4521e+06
2.0432e+05 7.5416e+06
1.9662e+05 7.3228e+06
1.3311e+05 5.547e+06
1.3778e+05 5.6289e+06
1.3398e+05 5.5249e+06
1.423e+05 5.8082e+06
55727 2.0711e+06
0 17854
1.3438e+05 5.5847e+06
1.344e+05 5.6093e+06
1.5867e+05 6.0991e+06
1.6746e+05 6.3614e+06
1.5809e+05 6.2259e+06
1.3443e+05 5.5169e+06
1.5664e+05 6.2047e+06
1.7002e+05 6.5771e+06
44243 1.7346e+06
0 18438
1.7359e+05 6.6723e+06
1.9185e+05 7.1714e+06
1.6965e+05 6.5492e+06
1.6151e+05 6.3627e+06
1.3278e+05 5.5023e+06
1.5275e+05 6.1068e+06
1.3736e+05 5.5182e+06
1.6845e+05 6.4743e+06
39238 1.57e+06
0 19082
1.3354e+05 5.523e+06
1.3199e+05 5.481e+06
1.4217e+05 5.7523e+06
1.4476e+05 5.7659e+06
1.4071e+05 5.7885e+06
1.7813e+05 6.9153e+06
1.378e+05 5.716e+06
1.4593e+05 5.9313e+06
40312 1.5822e+06
0 19088
1.4503e+05 5.9051e+06
1.5762e+05 6.2873e+06
1.4422e+05 5.746e+06
1.3758e+05 5.5629e+06
1.3954e+05 5.7089e+06
1.542e+05 6.0788e+06
1.3496e+05 5.6153e+06
1.4762e+05 5.9092e+06
37536 1.486e+06
0 17256
1.269e+05 5.3203e+06
1.2763e+05 5.3567e+06
2.0494e+05 7.5857e+06
1.7635e+05 6.7879e+06
1.5177e+05 6.0553e+06
1.5127e+05 6.1175e+06
1.4828e+05 6.0391e+06
1.4236e+05 5.762e+06
50369 1.8856e+06
0 21333
2.8194e+05 9.7391e+06
2.6118e+05 9.0946e+06
1.5553e+05 6.1099e+06
1.4199e+05 5.6631e+06
1.5471e+05 6.0762e+06
1.6069e+05 6.2731e+06
1.4704e+05 5.9334e+06
1.4514e+05 5.8775e+06
46932 1.7398e+06
0 19800
1.3206e+05 5.512e+06
1.3173e+05 5.5212e+06
1.5345e+05 5.9915e+06
1.6127e+05 6.3038e+06
1.4042e+05 5.7385e+06
1.5994e+05 6.2669e+06
1.5195e+05 6.0812e+06
1.4414e+05 5.8242e+06
41318 1.6054e+06
0 18267
1.4032e+05 5.8115e+06
1.5875e+05 6.3722e+06
1.787e+05 6.9006e+06
1.6065e+05 6.3436e+06
1.3939e+05 5.7259e+06
1.6492e+05 6.4883e+06
1.4238e+05 5.79e+06
1.6068e+05 6.2359e+06
38395 1.4997e+06
0 20092
1.2731e+05 5.3998e+06
1.3952e+05 5.7825e+06
1.3053e+05 5.4206e+06
1.3091e+05 5.3321e+06
1.2788e+05 5.3502e+06
1.4475e+05 5.8019e+06
1.365e+05 5.5796e+06
1.4155e+05 5.826e+06
39852 1.55e+06
0 23235
1.8266e+05 6.9672e+06
1.809e+05 6.9445e+06
1.7329e+05 6.5855e+06
1.6288e+05 6.2593e+06
1.2848e+05 5.3529e+06
1.3538e+05 5.4716e+06
1.4094e+05 5.6921e+06
1.3275e+05 5.5829e+06
35968 1.4717e+06
0 21642
1.8577e+05 7.0561e+06
1.7163e+05 6.6548e+06
1.8962e+05 7.0345e+06
1.8106e+05 6.8823e+06
1.3185e+05 5.4967e+06
1.6272e+05 6.4787e+06
1.3966e+05 5.7213e+06
1.4335e+05 5.8024e+06
44281 1.7165e+06
0 19785
1.3946e+05 5.8026e+06
1.4335e+05 5.9374e+06
1.6439e+05 6.4369e+06
1.649e+05 6.3985e+06
1.3742e+05 5.7145e+06
1.5743e+05 6.156e+06
1.4773e+05 6.0499e+06
1.2904e+05 5.3527e+06
51231 1.9281e+06
0 22576
1.6467e+05 6.561e+06
1.6848e+05 6.6352e+06
1.5891e+05 6.2144e+06
1.5763e+05 6.1455e+06
1.6639e+05 6.3977e+06
1.4102e+05 5.7316e+06
1.5757e+05 6.1845e+06
1.8596e+05 6.9978e+06
38393 1.5278e+06
0 20289
1.3347e+05 5.5143e+06
1.3837e+05 5.7029e+06
1.9529e+05 7.2952e+06
1.8426e+05 7.0354e+06
1.561e+05 6.2205e+06
1.4151e+05 5.7423e+06
1.309e+05 5.4698e+06
1.5976e+05 6.2998e+06
44060 1.745e+06
0 17444
1.2815e+05 5.4453e+06
1.3414e+05 5.6281e+06
1.3806e+05 5.5713e+06
1.388e+05 5.6611e+06
1.4552e+05 5.9454e+06
1.3456e+05 5.5494e+06
